userName,score,at,content
Hartono Malon,5,2026-04-30 07:56:45,"SIM C mau habis, Awalnya mau perpanjang secara langsung tetapi nemu aplikasi ini, Alhamdulillah langsung saya coba dan It works, SIM C sy jdi tanpa harus menghabiskan waktu untuk mengantri. Beberapa kendala pastinya ada, tapi masih bisa diatasi. Biaya tes kesehatan free, tes psikologi 77.500, dan biaya proses SIM 100.000. Jadi total habis 177.500, Terima Kasih."
ali muhcamad,5,2026-04-30 07:43:27,Mantab banget buat perpanjangan SIM nggk perlu dateng ke polres.
Loedi Ratrianto,5,2026-04-30 07:13:30,"Aplikasinya berjalan lancar meskipun saya melakukan perpanjangan SIM di hari terakhir masa berlaku SIM A saya, sukses terus untuk KORLANTAS POLRI"
Adi Gendut,5,2026-04-30 07:03:15,Sangat membantu dan mudah dengan adannya digital korlantas Polri
Nanank Qohar,3,2026-04-30 06:51:49,pengajuan SIM A dan C sejak tgl 21 April kenapa statusnya sampai sekarang stuck gak jalan.hanya tertulis Terbayar
Chintia Aprilliyani,5,2026-04-30 06:39:37,sangat membantu saya dalam memperpanjang SIM
Al RaFa OnLiNe ShOP,5,2026-04-30 05:56:22,aplikasi yang sangat membantu makasih korlantas polri
Ibad khalid عبادالرحمن خالد,5,2026-04-30 05:28:23,Thank you very much to digital korlantas polri
faisal alfian,3,2026-04-30 05:01:52,fitur pada aplikasi mesti mengunduh aplikasi dan web diluar dari aplikasi.
alek hermanto,1,2026-04-30 04:20:52,"Saya selalu gagal dapat OTP, sms selalu tidak terkirim padahal pulsa ada. kenapa ya? tolong ditindalanjuti."
Eka Permadi,5,2026-04-30 04:03:36,cocok untuk yg sibuk perpanjangan sim online
Setro Magono,4,2026-04-30 03:26:43,"Q lok,"
BOMBER FRIENDS GOOD BOMB,4,2026-04-30 02:27:49,baik
Yana Suryana,1,2026-04-30 02:16:58,"saat mau ferivikasi wajah gagal mulu saya coba sampai berhari"" gak bisa,eror mulu, padahal pencahayaan udah bagus wajah gak pake asesoris atapun lain"" tetep saja eror,saya kecewa"
waluya najwan,5,2026-04-30 01:48:16,baik
Mohamad Ayub,1,2026-04-30 01:28:43,"aplikasi sering error, alamat tidak ditemukan, seharusnya aplikasi ini mempermudah masyarakat yang merantau dan tidak bisa datang ke satpas terdekat dan menghindari pungli para tikus tikus negara... awal perpanjang sim A sangat membantu, saat perpanjang sim yg kedu SIM C, malah susah sering error dan bikin emosi, tolong di perbaiki lagi, negara kita sudah mulai maju, jangan dibuat mundur lgi 🙏🙏"
Solahuddin Al Ayubi,1,2026-04-30 01:20:23,"Registrasi dari 4 april 2026, hingga saat ini tgl 30 April 2026 status tidak berubah masih (proses). menurut saya lebih cepat perpanjangan SIM langsung."
Tur 4664,1,2026-04-30 01:02:19,"sudah 2 Minggu lebih perpanjang SIM lewat aplikasi ini setelah bayar blm ada update status, di proses"
Hasan Hafidi,5,2026-04-30 00:32:32,sangat bagus
bayu dwi rangga,1,2026-04-30 00:21:03,"kembalikan uang saya, saya perpanjang sim lewat app ini gak guna, masa transaksi saya hilang, gak ada riwayat gak ada notif, sebelumnya status terbayar, sampai 10 hari lebih statusnya gak berubah, pas mau dicek lagi udah gak ada transaksi saya, gak jelas ditolak, gagal, atau lagi diproses, gak ada fitur live chat, gak ada opsi kembalikan dana, bikin emosi doang, jadi duit saya gemana woyyyyy, gak balik???????"
Erlin Anjarwati,1,2026-04-30 00:05:49,terjadi kesalahan pada sistem. silakan coba lagi. nomor sudah benar aja sulit login
Alex golek,1,2026-04-29 23:03:25,mau daftar aja susah. kacau x ahk 😂
Alfitra IsM,4,2026-04-29 18:13:28,Lambat
Bayu Bayol,1,2026-04-29 17:09:15,"tidak bisa masuk, tidak jelas !"
Rukun Prasetyo,5,2026-04-29 15:56:03,Terus kembangkan Applikasi untuk yang lebih Baik
Rismamaysalwa Salwa,5,2026-04-29 15:52:14,"sangat puas, membantu perpanjang SIM biar Lewat rumah aja"
Tri Budi Juniharto,5,2026-04-29 15:42:25,sangat membantu
nani triandriani,5,2026-04-29 14:22:22,"proses cepat,mudah sangat membantu.."
Darmawan Syah,5,2026-04-29 14:06:14,Keren Abis
APRILLIA DITA,4,2026-04-29 13:59:23,sangat pembantu buat yg sibuk meskipun prosesnya cukup lama
Irfan Wahyudin,5,2026-04-29 12:52:38,"sangat membantu ,efektif dan cepat"
Muhammad Rizal,1,2026-04-29 12:51:22,"aplikasi gak jelas,perpanjang SIM bayar tapi kenapa di bikin ribet,lama lama males taat peraturan lalu lintas kalo gini"
Ardi Anta,4,2026-04-29 12:41:59,semua fitur belum bisa d gunakan dan masih kadang blank
Harris Munandar,5,2026-04-29 11:49:53,terbaik. alhamdulillah
Reno Egie,5,2026-04-29 11:45:23,"mantap, bisa online"
Aa Komarudin,5,2026-04-29 11:42:34,"Alhamdulillah, terima kasih atas pelayanan Pk Polri yang sudah membantu kami untuk perpanjangan SIM Kami. Alhamdulillah proses pengiriman PT. POS INDONESIA."
laut malam,1,2026-04-29 10:54:12,"SUSAH BANGET VERIFIKASI WAJAH E-KTP NYA, PADAHAL UDH SESUAI STANDAR YG BERLAKU, TAPI GAGAL MULU.."
Yuki Anaya,3,2026-04-29 10:16:26,aplikasinya ko gk bisa d akses ato jaringan?
Wahyu Irawan,5,2026-04-29 10:02:37,sangat membantu cuman aplikasi harap diperbaiki lagi sering error
vitridian purnamasari,5,2026-04-29 09:39:08,"trima kasih, perpanjang sim menjadi mudah"
Riski Mudha,5,2026-04-29 09:36:09,"bagus, 23 hari baru sampai. mohon diperbaiki proses kirimnya"
tono kelvin,5,2026-04-29 09:24:16,"sangat membantu sekali,lebih simple deh"
DWI MUL,5,2026-04-29 08:03:08,cepat
dadang darmasuka,5,2026-04-29 07:42:23,Pelayanan sangat cepat
Suf,1,2026-04-29 07:13:03,"Ni aplikasi error ya, ngga bisa login cuma blank putih aja abis masukin no telp"
